GroupNumber    M200[Msol]    fdisk    fbulge    fihl    DtoT_30kpc    kappa_co_30kpc    f_gt_100kpc    f_gt_30kpc    f_gt_2r50    disk_t50    disk_r50    disk_sfr    bulge_t50    bulge_r50    bulge_sfr    ihl_t50    ihl_r50    ihl_sfr
62 2.392665e+13 0.000000e+00 7.114000e-01 2.886000e-01 8.848092e-02 1.769120e-01 1.693109e-01 3.917301e-01 3.428450e-01 nan nan nan 9.281239e+00 9.613819e+00 3.758353e+00 9.877706e+00 1.125969e+02 1.042768e+00
63 2.697781e+13 0.000000e+00 6.760556e-01 3.239444e-01 2.141215e-01 1.834043e-01 2.576866e-01 5.515339e-01 3.368571e-01 nan nan nan 9.224293e+00 1.842594e+01 7.439459e+00 9.195760e+00 1.312411e+02 1.057121e+00
64 2.086803e+13 0.000000e+00 7.402952e-01 2.597048e-01 7.013235e-01 4.627511e-01 1.684440e-01 3.737096e-01 3.698951e-01 nan nan nan 9.989307e+00 7.947110e+00 3.437501e+00 8.953980e+00 1.375012e+02 2.011906e+00
65 2.254353e+13 0.000000e+00 7.160531e-01 2.839469e-01 6.045378e-02 1.498224e-01 2.064841e-01 4.749170e-01 3.480939e-01 nan nan nan 1.070446e+01 1.289646e+01 1.357700e+00 9.601900e+00 1.346750e+02 8.759336e-01
66 2.125747e+13 0.000000e+00 8.498632e-01 1.501368e-01 1.116316e-01 2.023570e-01 1.981845e-01 5.497286e-01 3.053301e-01 nan nan nan 1.000887e+01 2.752854e+01 2.127333e+00 9.400444e+00 2.665437e+02 2.818169e-01
67 2.633301e+13 0.000000e+00 6.812961e-01 3.187039e-01 3.019584e-01 2.947502e-01 2.680067e-01 4.443914e-01 3.931949e-01 nan nan nan 1.009556e+01 8.139735e+00 3.882943e+00 9.834683e+00 1.964568e+02 5.531912e-01
68 2.001880e+13 0.000000e+00 8.075270e-01 1.924730e-01 2.058450e-01 2.497517e-01 1.356665e-01 3.422641e-01 3.529718e-01 nan nan nan 1.081194e+01 9.178974e+00 5.619357e-01 1.043861e+01 1.377502e+02 3.034062e-01
69 2.518383e+13 0.000000e+00 6.532292e-01 3.467708e-01 9.049183e-02 1.576045e-01 2.399294e-01 4.305433e-01 3.637336e-01 nan nan nan 1.020078e+01 9.728007e+00 4.669286e-01 9.600000e+00 1.739192e+02 6.903726e-01
70 2.181215e+13 1.849142e-01 6.438003e-01 1.712856e-01 1.663093e-01 2.244645e-01 1.486415e-01 3.804681e-01 3.381322e-01 1.062242e+01 7.326281e+01 1.020908e-01 1.111554e+01 8.633933e+00 2.248111e-01 1.059832e+01 7.095934e+01 6.559158e-02
71 2.253621e+13 0.000000e+00 6.424412e-01 3.575588e-01 1.844034e-01 1.755055e-01 2.357274e-01 4.598640e-01 3.730718e-01 nan nan nan 9.434833e+00 9.912601e+00 1.526021e-01 9.872877e+00 1.585569e+02 3.487096e-01
72 2.302096e+13 0.000000e+00 7.692322e-01 2.307678e-01 1.076768e-01 2.179065e-01 1.499793e-01 3.617036e-01 3.274640e-01 nan nan nan 1.085114e+01 1.003492e+01 4.702793e-01 1.018992e+01 1.441942e+02 4.169345e-01
